time,value
2024-07-29T05:13:00.958044029Z,0
2024-07-29T05:17:53.510565626Z,0
2024-07-29T05:28:01.970067898Z,0
2024-07-29T05:31:37.119849226Z,0
2024-07-29T05:31:38.140878808Z,12
2024-07-29T05:31:39.179939889Z,13
2024-07-29T05:31:40.189753999Z,12
2024-07-29T05:31:44.387761513Z,11
2024-07-29T05:31:45.420231686Z,12
2024-07-29T05:31:47.459872478Z,11
2024-07-29T05:31:48.3797721Z,16
2024-07-29T05:31:49.520643185Z,12
2024-07-29T05:31:50.52989793Z,17
2024-07-29T05:31:51.549789621Z,791
2024-07-29T05:31:52.674050247Z,42
2024-07-29T05:31:53.910177404Z,12
2024-07-29T05:31:54.719852437Z,16
2024-07-29T05:31:55.759936261Z,12
2024-07-29T05:31:57.800985672Z,17
2024-07-29T05:31:58.830248112Z,36
2024-07-29T05:31:59.839990912Z,791
2024-07-29T05:32:00.879952221Z,24
2024-07-29T05:32:01.899920181Z,21
2024-07-29T05:32:02.929842734Z,15
2024-07-29T05:32:03.970374928Z,35
2024-07-29T05:32:05.070180478Z,15
2024-07-29T05:32:06.200300451Z,57
2024-07-29T05:32:07.130179674Z,15
2024-07-29T05:32:08.149964019Z,66
2024-07-29T05:32:09.179847817Z,16
2024-07-29T05:32:10.189885385Z,56
2024-07-29T05:32:11.221256724Z,16
2024-07-29T05:32:12.240108422Z,28
2024-07-29T05:32:13.280000451Z,32
2024-07-29T05:32:15.420208549Z,31
2024-07-29T05:32:16.430175091Z,32
2024-07-29T05:32:17.359795203Z,31
2024-07-29T05:32:19.409793201Z,32
2024-07-29T05:32:20.539685176Z,31
2024-07-29T05:32:21.568250707Z,32
2024-07-29T05:32:23.610096877Z,792
2024-07-29T05:32:24.640728261Z,22
2024-07-29T05:32:26.679929496Z,20
2024-07-29T05:32:27.69992943Z,22
2024-07-29T05:32:29.859986152Z,21
2024-07-29T05:32:30.869913936Z,20
2024-07-29T05:32:32.929780299Z,21
2024-07-29T05:32:33.949853403Z,20
2024-07-29T05:32:34.979842367Z,21
2024-07-29T05:32:35.990219884Z,20
2024-07-29T05:32:39.070036046Z,19
2024-07-29T05:32:41.219987954Z,20
2024-07-29T05:32:42.140236996Z,22
2024-07-29T05:32:44.187160154Z,19
2024-07-29T05:32:45.220059494Z,20
2024-07-29T05:32:46.239889891Z,22
2024-07-29T05:32:47.369795117Z,19
2024-07-29T05:32:49.400112748Z,20
2024-07-29T05:32:50.339972041Z,19
2024-07-29T05:32:51.4599169Z,21
2024-07-29T05:32:52.490282951Z,18
2024-07-29T05:32:53.510241091Z,10
2024-07-29T05:32:54.529950823Z,9
2024-07-29T05:32:55.560083233Z,27
2024-07-29T05:32:56.580129635Z,29
2024-07-29T05:32:57.610141187Z,27
2024-07-29T05:33:00.679936296Z,26
2024-07-29T05:33:01.700138305Z,29
2024-07-29T05:33:02.729928934Z,15
2024-07-29T05:33:03.760325904Z,16
2024-07-29T05:33:05.805608678Z,28
2024-07-29T05:33:06.932064499Z,35
2024-07-29T05:33:07.952200204Z,36
2024-07-29T05:33:08.971316251Z,35
2024-07-29T05:33:11.022436595Z,36
2024-07-29T05:33:12.052894165Z,35
2024-07-29T05:33:13.185982899Z,48
2024-07-29T05:33:14.09110402Z,45
2024-07-29T05:33:15.119971236Z,48
2024-07-29T05:33:16.150758909Z,71
2024-07-29T05:33:17.172290054Z,46
2024-07-29T05:33:18.289914197Z,47
2024-07-29T05:33:20.343816845Z,45
2024-07-29T05:33:21.259886517Z,47
2024-07-29T05:33:22.388953327Z,27
2024-07-29T05:33:23.410894874Z,60
2024-07-29T05:33:24.439991722Z,59
2024-07-29T05:33:25.459868581Z,60
2024-07-29T05:33:26.479922334Z,59
2024-07-29T05:33:27.510127839Z,60
2024-07-29T05:33:28.529927008Z,27
2024-07-29T05:33:29.66208627Z,59
2024-07-29T05:33:30.679991877Z,61
2024-07-29T05:33:31.700033449Z,60
2024-07-29T05:33:33.759990105Z,61
2024-07-29T05:33:34.771314705Z,25
2024-07-29T05:33:35.800242616Z,28
2024-07-29T05:33:36.830111214Z,26
2024-07-29T05:33:37.850244873Z,63
2024-07-29T05:33:39.087138367Z,54
2024-07-29T05:33:40.12815831Z,24
2024-07-29T05:33:40.920264171Z,25
2024-07-29T05:33:42.04880879Z,37
2024-07-29T05:33:43.077930457Z,36
2024-07-29T05:33:44.009943887Z,29
2024-07-29T05:33:45.018184726Z,42
2024-07-29T05:33:46.140000616Z,28
2024-07-29T05:33:47.074069804Z,36
2024-07-29T05:33:48.180657364Z,29
2024-07-29T05:33:49.220138225Z,37
2024-07-29T05:33:50.23994499Z,38
2024-07-29T05:33:51.2600779Z,37
2024-07-29T05:33:52.289959886Z,32
2024-07-29T05:33:55.360022212Z,27
2024-07-29T05:33:56.379980188Z,25
2024-07-29T05:33:57.409927085Z,35
2024-07-29T05:33:59.561032911Z,26
2024-07-29T05:34:00.580434396Z,29
2024-07-29T05:34:01.610069882Z,26
2024-07-29T05:34:02.63010947Z,25
2024-07-29T05:34:03.6511693Z,33
2024-07-29T05:34:05.701452905Z,36
2024-07-29T05:34:06.73040074Z,27
2024-07-29T05:34:07.764449942Z,28
2024-07-29T05:34:08.770518952Z,34
2024-07-29T05:34:09.79990588Z,33
2024-07-29T05:34:10.82007419Z,25
2024-07-29T05:34:11.907263275Z,35
2024-07-29T05:34:12.870982258Z,26
2024-07-29T05:34:13.90012753Z,33
2024-07-29T05:34:15.019921997Z,31
2024-07-29T05:34:16.050011862Z,27
2024-07-29T05:34:17.070195153Z,26
2024-07-29T05:34:18.089992521Z,33
2024-07-29T05:34:19.110005642Z,32
2024-07-29T05:34:20.240011982Z,26
2024-07-29T05:34:21.170088833Z,31
2024-07-29T05:34:22.180216339Z,34
2024-07-29T05:34:23.219903326Z,35
2024-07-29T05:34:24.339982634Z,34
