_id,Timestamp,x,y,z
66c97d2f00cbf1ca6a82dc67,2024-08-24 16:26:55.480000,0.31, 1.10, 0.49
66c97d3100cbf1ca6a82dc68,2024-08-24 16:26:57.507000,0.37, 0.31, 0.49
66c97d3300cbf1ca6a82dc69,2024-08-24 16:26:59.491000,0.31, 0.31, 0.49
66c97d3500cbf1ca6a82dc6a,2024-08-24 16:27:01.496000,0.18, 0.37, 0.49
66c97d3700cbf1ca6a82dc6b,2024-08-24 16:27:03.504000,0.37, 0.49, 0.49
66c97d3900cbf1ca6a82dc6c,2024-08-24 16:27:05.517000,0.43, 1.04, 0.49
66c97d3b00cbf1ca6a82dc6d,2024-08-24 16:27:07.875000,0.24, 0.37, 0.49
66c97d3d00cbf1ca6a82dc6e,2024-08-24 16:27:09.531000,0.49, 0.61, 0.49
66c97d3f00cbf1ca6a82dc6f,2024-08-24 16:27:11.541000,0.18, -0.18, 0.49
66c97d4100cbf1ca6a82dc70,2024-08-24 16:27:13.557000,-0.43, 2.20, 0.61
66c97d4300cbf1ca6a82dc71,2024-08-24 16:27:15.533000,0.12, 0.85, 0.49
66c97d4500cbf1ca6a82dc72,2024-08-24 16:27:17.543000,0.31, 0.43, 0.49
66c97d4700cbf1ca6a82dc73,2024-08-24 16:27:19.541000,0.00, 0.37, 0.49
66c97d4900cbf1ca6a82dc74,2024-08-24 16:27:21.554000,0.24, 0.43, 0.43
66c97d4b00cbf1ca6a82dc75,2024-08-24 16:27:23.551000,0.31, 0.43, 0.49
66c97d4e00cbf1ca6a82dc76,2024-08-24 16:27:26.021000,0.24, 0.49, 0.49
66c97d4f00cbf1ca6a82dc77,2024-08-24 16:27:27.668000,0.31, 0.43, 0.49
66c97d5100cbf1ca6a82dc78,2024-08-24 16:27:29.581000,0.31, 0.55, 0.49
66c97d5300cbf1ca6a82dc79,2024-08-24 16:27:31.594000,0.24, 0.49, 0.43
66c97d5500cbf1ca6a82dc7a,2024-08-24 16:27:33.580000,0.18, 0.85, 0.49
66c97d5700cbf1ca6a82dc7b,2024-08-24 16:27:35.584000,0.31, 0.43, 0.49
66c97d5900cbf1ca6a82dc7c,2024-08-24 16:27:37.591000,0.37, 0.37, 0.49
66c97d5b00cbf1ca6a82dc7d,2024-08-24 16:27:39.592000,0.24, 0.61, 0.49
66c97d5d00cbf1ca6a82dc7e,2024-08-24 16:27:41.639000,0.31, 0.31, 0.49
66c97d6000cbf1ca6a82dc7f,2024-08-24 16:27:44.051000,0.37, 0.24, 0.49
66c97d6100cbf1ca6a82dc80,2024-08-24 16:27:45.639000,0.37, 0.37, 0.49
66c97d6300cbf1ca6a82dc81,2024-08-24 16:27:47.612000,0.37, 0.12, 0.49
