Timestamp,x,y,z
2024-08-26 20:10:07,0.31, 0.61, 0.49
2024-08-26 20:10:09,0.12, 0.55, 0.67
2024-08-26 20:10:11,0.61, 0.24, 0.55
2024-08-26 20:10:13,1.10, -0.55, 0.55
2024-08-26 20:10:15,0.43, 0.49, 0.55
2024-08-26 20:10:17,0.18, 0.49, 0.55
2024-08-26 20:10:19,0.12, 0.49, 0.55
2024-08-26 20:10:22,0.31, 0.49, 0.49
2024-08-26 20:10:24,0.31, 0.55, 0.55
2024-08-26 20:10:26,1.95, 1.46, 0.18
2024-08-26 20:10:28,0.00, 1.40, 0.24
2024-08-26 20:10:30,0.67, 1.04, 0.49
2024-08-26 20:10:32,0.73, 0.49, 0.49
2024-08-26 20:10:34,0.12, 0.37, 0.55
2024-08-26 20:10:36,0.85, 0.92, 0.49
2024-08-26 20:10:38,0.31, 0.55, 0.49
2024-08-26 20:10:40,-0.06, 0.37, 0.49
2024-08-26 20:10:42,0.18, 0.55, 0.49
2024-08-26 20:10:44,1.16, 0.98, 0.49
2024-08-26 20:10:46,3.30, 1.77, 0.49
2024-08-26 20:10:48,1.95, 1.34, 0.49
2024-08-26 20:10:50,7.87, 3.66, 0.43
2024-08-26 20:10:52,1.53, 1.34, 0.49
2024-08-26 20:10:54,1.04, 0.79, 0.49
2024-08-26 20:10:56,1.59, 1.28, 0.49
2024-08-26 20:10:58,7.63, 2.14, 1.40
2024-08-26 20:11:00,0.85, 0.79, 0.55
2024-08-26 20:11:02,-0.61, 0.06, 0.55
2024-08-26 20:11:04,0.49, 0.61, 0.55
2024-08-26 20:11:07,0.43, 0.61, 0.55
2024-08-26 20:11:09,0.24, 0.49, 0.49
2024-08-26 20:11:11,0.31, 0.49, 0.55
2024-08-26 20:11:13,0.31, 0.49, 0.55
2024-08-26 20:11:15,0.18, 0.49, 0.55
2024-08-26 20:11:17,0.31, 0.43, 0.55
2024-08-26 20:11:19,0.24, 0.43, 0.49
2024-08-26 20:11:21,0.24, 0.49, 0.49
2024-08-26 20:11:23,0.24, 0.43, 0.49
2024-08-26 20:11:25,0.67, 0.67, 0.49
2024-08-26 20:11:27,0.24, 0.37, 0.49
2024-08-26 20:11:29,0.55, 0.49, 0.49
2024-08-26 20:11:31,0.24, 0.43, 0.49
2024-08-26 20:11:33,0.31, 0.49, 0.55
2024-08-26 20:11:35,0.24, 0.49, 0.49
2024-08-26 20:11:37,0.31, 0.49, 0.55
2024-08-26 20:11:39,0.12, 0.37, 0.55
2024-08-26 20:11:41,0.31, 0.61, 0.55
2024-08-26 20:11:43,0.31, 0.49, 0.55
2024-08-26 20:11:45,0.24, 0.49, 0.55
2024-08-26 20:11:47,0.31, 0.49, 0.55
2024-08-26 20:11:49,0.31, 0.49, 0.55
2024-08-26 20:11:51,0.37, 0.55, 0.55
2024-08-26 20:11:53,0.31, 0.49, 0.49
2024-08-26 20:11:56,0.24, 0.49, 0.55
2024-08-26 20:11:58,0.18, 0.37, 0.49
2024-08-26 20:12:00,0.12, 0.31, 0.55
2024-08-26 20:12:02,0.18, 0.49, 0.49
2024-08-26 20:12:04,0.55, 0.73, 0.55
2024-08-26 20:12:06,0.24, 0.49, 0.49
2024-08-26 20:12:08,0.18, 0.49, 0.49
2024-08-26 20:12:10,-0.31, 0.73, 0.49
2024-08-26 20:12:12,0.85, 0.73, 0.49
2024-08-26 20:12:14,1.40, 1.04, 0.49
2024-08-26 20:12:16,-0.24, 0.55, 0.55
2024-08-26 20:12:18,0.43, 0.49, 0.49
2024-08-26 20:12:20,1.22, 1.04, 0.55
2024-08-26 20:12:22,0.31, 0.49, 0.49
2024-08-26 20:12:24,0.24, 0.49, 0.49
2024-08-26 20:12:26,0.24, 0.49, 0.55
2024-08-26 20:12:28,0.24, 0.43, 0.49
2024-08-26 20:12:30,0.18, 0.49, 0.55
2024-08-26 20:12:32,0.37, 0.55, 0.49
2024-08-26 20:12:34,0.24, 0.49, 0.55
2024-08-26 20:12:36,0.31, 0.49, 0.49
2024-08-26 20:12:39,0.24, 0.49, 0.49
2024-08-26 20:12:41,0.31, 0.49, 0.55
2024-08-26 20:12:43,0.24, 0.49, 0.49
2024-08-26 20:12:45,0.18, 0.37, 0.55
2024-08-26 20:12:47,0.18, 0.49, 0.49
2024-08-26 20:12:49,0.24, 0.43, 0.55
2024-08-26 20:12:51,0.31, 0.49, 0.49
2024-08-26 20:12:53,0.24, 0.37, 0.49
2024-08-26 20:12:55,0.31, 0.55, 0.55
2024-08-26 20:12:57,0.18, 0.37, 0.49
2024-08-26 20:12:59,0.24, 0.43, 0.49
2024-08-26 20:13:01,0.31, 0.49, 0.55
2024-08-26 20:13:03,0.31, 0.49, 0.49
2024-08-26 20:13:05,-0.43, -0.37, 0.49
2024-08-26 20:13:07,0.31, 0.43, 0.55
2024-08-26 20:13:09,0.06, 0.37, 0.55
2024-08-26 20:13:11,0.00, 0.24, 0.49
2024-08-26 20:13:13,0.31, 0.49, 0.49
2024-08-26 20:13:15,1.10, 0.98, 0.55
2024-08-26 20:13:17,0.37, 0.55, 0.49
2024-08-26 20:13:19,0.18, 0.49, 0.55
2024-08-26 20:13:21,-0.12, 0.00, 0.55
2024-08-26 20:13:23,0.18, 0.43, 0.49
2024-08-26 20:13:26,2.87, 0.79, 0.73
2024-08-26 20:13:28,1.28, 0.98, 0.55
2024-08-26 20:13:30,0.18, 0.31, 0.49
2024-08-26 20:13:32,0.37, 0.61, 0.55
2024-08-26 20:13:34,0.31, 0.43, 0.55
2024-08-26 20:13:36,0.24, 0.49, 0.55
2024-08-26 20:13:38,0.31, 0.49, 0.55
2024-08-26 20:13:40,0.31, 0.49, 0.49
2024-08-26 20:13:42,-0.43, 0.43, 0.49
2024-08-26 20:13:44,0.12, 0.73, 0.49
2024-08-26 20:13:46,0.31, 0.49, 0.55
2024-08-26 20:13:48,0.18, 0.49, 0.49
2024-08-26 20:13:50,0.18, 0.37, 0.49
2024-08-26 20:13:52,0.24, 0.49, 0.49
2024-08-26 20:13:54,0.31, 0.49, 0.49
2024-08-26 20:13:56,0.24, 0.49, 0.49
2024-08-26 20:13:58,0.31, 0.49, 0.55
2024-08-26 20:14:00,0.31, 0.49, 0.49
2024-08-26 20:14:02,0.31, 0.49, 0.49
2024-08-26 20:14:04,0.43, 0.49, 0.49
2024-08-26 20:14:06,0.31, 0.49, 0.49
2024-08-26 20:14:08,0.31, 0.49, 0.49
2024-08-26 20:14:10,0.24, 0.49, 0.55
2024-08-26 20:14:12,0.37, 0.55, 0.55
2024-08-26 20:14:15,0.24, 0.43, 0.49
2024-08-26 20:14:17,0.37, 0.49, 0.49
2024-08-26 20:14:19,0.37, 0.55, 0.49
2024-08-26 20:14:21,0.37, 0.55, 0.55
2024-08-26 20:14:23,0.43, 0.55, 0.49
2024-08-26 20:14:25,0.37, 0.49, 0.49
2024-08-26 20:14:27,0.43, 0.55, 0.55
2024-08-26 20:14:29,0.98, 0.61, 0.55
2024-08-26 20:14:31,1.59, 0.98, 0.55
2024-08-26 20:14:33,0.61, 0.49, 0.55
2024-08-26 20:14:35,1.22, 0.98, 0.61
2024-08-26 20:14:37,1.59, 0.92, 0.55
2024-08-26 20:14:39,0.24, 0.49, 0.49
2024-08-26 20:14:41,0.18, 0.43, 0.55
2024-08-26 20:14:43,0.98, 0.98, 0.49
2024-08-26 20:14:45,0.37, 0.43, 0.49
2024-08-26 20:14:47,0.18, 0.43, 0.49
2024-08-26 20:14:49,0.24, 0.43, 0.55
2024-08-26 20:14:51,0.24, 0.49, 0.55
2024-08-26 20:14:53,0.31, 0.49, 0.55
2024-08-26 20:14:55,0.31, 0.43, 0.49
2024-08-26 20:14:58,0.31, 0.49, 0.49
2024-08-26 20:15:00,0.24, 0.43, 0.49
2024-08-26 20:15:02,0.12, 0.43, 0.49
2024-08-26 20:15:04,-0.24, 0.24, 0.49
2024-08-26 20:15:06,0.24, 0.55, 0.49
2024-08-26 20:15:08,-1.34, 0.24, 0.37
2024-08-26 20:15:10,0.18, 0.49, 0.49
2024-08-26 20:15:12,0.24, 0.49, 0.55
2024-08-26 20:15:14,0.24, 0.55, 0.55
2024-08-26 20:15:16,0.37, 0.55, 0.49
2024-08-26 20:15:18,0.24, 0.43, 0.49
2024-08-26 20:15:20,-0.24, 0.00, 0.55
2024-08-26 20:15:22,7.69, 3.91, 0.67
2024-08-26 20:15:24,1.53, 1.40, 0.49
2024-08-26 20:15:26,0.18, 0.37, 0.55
2024-08-26 20:15:28,0.12, 0.31, 0.55
2024-08-26 20:15:30,0.24, 0.49, 0.55
2024-08-26 20:15:32,0.24, 0.55, 0.55
2024-08-26 20:15:34,0.12, 0.43, 0.49
2024-08-26 20:15:36,0.31, 0.49, 0.49
2024-08-26 20:15:38,0.31, 0.43, 0.55
2024-08-26 20:15:40,0.24, 0.49, 0.55
2024-08-26 20:15:43,0.31, 0.49, 0.49
2024-08-26 20:15:45,0.24, 0.49, 0.55
2024-08-26 20:15:47,0.24, 0.43, 0.49
2024-08-26 20:15:49,0.18, 0.43, 0.49
2024-08-26 20:15:51,0.24, 0.55, 0.49
2024-08-26 20:15:53,0.18, 0.49, 0.55
2024-08-26 20:15:55,0.31, 0.49, 0.55
2024-08-26 20:15:57,0.24, 0.49, 0.55
2024-08-26 20:15:59,0.31, 0.49, 0.55
2024-08-26 20:16:01,0.06, 0.43, 0.49
2024-08-26 20:16:03,0.12, 0.31, 0.49
2024-08-26 20:16:05,0.31, 0.55, 0.55
2024-08-26 20:16:07,-0.79, -0.31, 0.55
2024-08-26 20:16:09,0.06, 0.31, 0.43
2024-08-26 20:16:11,-1.28, -0.37, 0.55
2024-08-26 20:16:13,2.38, 1.10, 0.49
2024-08-26 20:16:15,0.37, 0.55, 0.49
2024-08-26 20:16:17,0.31, 0.55, 0.49
2024-08-26 20:16:19,0.24, 0.49, 0.49
2024-08-26 20:16:21,0.92, 0.92, 0.49
2024-08-26 20:16:24,0.31, 0.49, 0.55
2024-08-26 20:16:26,-0.24, 0.31, 0.61
2024-08-26 20:16:28,0.31, 0.55, 0.49
2024-08-26 20:16:30,-0.12, 0.12, 0.49
2024-08-26 20:16:32,0.73, 0.73, 0.55
2024-08-26 20:16:34,0.18, 0.43, 0.55
2024-08-26 20:16:36,0.31, 0.49, 0.49
2024-08-26 20:16:38,0.31, 0.49, 0.55
2024-08-26 20:16:40,0.37, 0.43, 0.55
2024-08-26 20:16:42,0.24, 0.49, 0.49
2024-08-26 20:16:44,0.31, 0.43, 0.49
2024-08-26 20:16:46,0.31, 0.55, 0.55
2024-08-26 20:16:48,0.24, 0.43, 0.49
2024-08-26 20:16:50,0.31, 0.49, 0.55
2024-08-26 20:16:52,0.31, 0.55, 0.55
2024-08-26 20:16:54,0.31, 0.55, 0.55
2024-08-26 20:16:56,0.24, 0.49, 0.49
2024-08-26 20:16:58,0.18, 0.43, 0.55
2024-08-26 20:17:00,0.31, 0.43, 0.55
2024-08-26 20:17:02,-0.06, 0.18, 0.49
2024-08-26 20:17:04,0.06, 0.31, 0.49
2024-08-26 20:17:06,0.43, 0.61, 0.55
2024-08-26 20:17:08,0.12, 0.37, 0.55
2024-08-26 20:17:11,0.73, 0.43, 0.55
2024-08-26 20:17:13,0.37, 0.49, 0.55
