Timestamp,Gyro_X,Gyro_Y,Gyro_Z
2024-08-13 16:14:35,0.67,0.85,0.55
2024-08-13 16:14:36,-0.18,0.24,0.55
2024-08-13 16:14:37,0.61,0.73,0.55
2024-08-13 16:14:38,0.31,0.49,0.55
2024-08-13 16:14:39,0.31,0.43,0.61
2024-08-13 16:14:40,0.37,0.61,0.55
2024-08-13 16:14:41,-0.92,-0.18,0.55
2024-08-13 16:14:42,0.55,0.61,0.55
2024-08-13 16:14:43,0.49,0.73,0.61
2024-08-13 16:14:44,0.61,0.61,0.61
2024-08-13 16:14:45,-0.37,0.37,0.61
2024-08-13 16:14:46,0.92,0.92,0.55
2024-08-13 16:14:47,0.79,0.79,0.49
2024-08-13 16:14:48,0.06,0.49,0.55
2024-08-13 16:14:49,0.43,0.61,0.55
2024-08-13 16:14:50,-0.37,0.18,0.61
2024-08-13 16:14:51,-0.06,0.31,0.61
2024-08-13 16:14:52,1.46,1.22,0.55
2024-08-13 16:14:53,0.61,0.73,0.55
2024-08-13 16:14:54,0.43,0.61,0.55
2024-08-13 16:14:55,0.61,0.79,0.55
2024-08-13 16:14:56,0.18,0.43,0.61
2024-08-13 16:14:57,0.37,0.55,0.55
2024-08-13 16:14:58,0.43,0.55,0.55
2024-08-13 16:14:59,0.06,0.43,0.61
2024-08-13 16:15:00,0.31,0.55,0.61
2024-08-13 16:15:01,0.12,0.67,0.55
2024-08-13 16:15:02,1.1,1.28,0.61
2024-08-13 16:15:03,1.1,1.04,0.61
2024-08-13 16:15:04,-0.31,0.06,0.55
2024-08-13 16:15:05,0.55,0.61,0.55
2024-08-13 16:15:06,-1.83,-0.67,0.55
2024-08-13 16:15:07,0.31,0.49,0.55
2024-08-13 16:15:08,-0.06,0.37,0.55
2024-08-13 16:15:09,0.31,0.55,0.61
2024-08-13 16:15:10,-0.06,0.24,0.55
2024-08-13 16:15:11,0.18,0.49,0.55
2024-08-13 16:15:12,-0.37,-0.06,0.55
2024-08-13 16:15:13,0.61,0.73,0.49
2024-08-13 16:15:14,0.55,0.49,0.73
2024-08-13 16:15:15,0.73,0.37,0.61
2024-08-13 16:15:16,0.61,0.73,0.49
2024-08-13 16:15:17,1.16,0.85,0.55
2024-08-13 16:15:18,0.37,0.61,0.67
2024-08-13 16:15:19,0.49,0.61,0.55
2024-08-13 16:15:20,0.85,0.92,0.55
2024-08-13 16:15:21,2.2,1.34,0.49
2024-08-13 16:15:22,0.55,0.73,0.55
2024-08-13 16:15:23,0.31,0.49,0.61
2024-08-13 16:15:24,0.24,0.49,0.55
2024-08-13 16:15:25,0.55,0.67,0.61
2024-08-13 16:15:26,0.37,0.67,0.55
2024-08-13 16:15:27,0.12,0.43,0.55
2024-08-13 16:15:28,0.06,0.37,0.61
2024-08-13 16:15:29,0.31,0.55,0.61
2024-08-13 16:15:30,0.24,0.43,0.55
2024-08-13 16:15:31,0.24,0.43,0.61
2024-08-13 16:15:32,-0.06,0.24,0.67
2024-08-13 16:15:33,-1.1,-0.12,0.55
2024-08-13 16:15:34,0.0,0.61,0.55
2024-08-13 16:15:35,-1.53,0.0,0.37
2024-08-13 16:15:36,0.31,0.73,0.55
2024-08-13 16:15:37,-0.12,0.73,0.55
2024-08-13 16:15:38,1.22,0.37,0.49
2024-08-13 16:15:39,-0.73,-0.67,0.67
2024-08-13 16:15:40,1.34,2.93,0.61
2024-08-13 16:15:41,0.12,1.1,0.55
2024-08-13 16:15:42,-5.43,-3.85,0.85
2024-08-13 16:15:43,0.49,0.49,0.55
2024-08-13 16:15:44,0.43,0.43,0.61
2024-08-13 16:15:45,0.24,0.43,0.55
2024-08-13 16:15:46,-0.06,0.55,0.55
2024-08-13 16:15:47,0.24,0.43,0.61
2024-08-13 16:15:48,0.55,0.55,0.55
2024-08-13 16:15:49,-0.18,0.24,0.55
2024-08-13 16:15:50,0.67,0.85,0.55
2024-08-13 16:15:51,0.49,0.61,0.55
2024-08-13 16:15:52,2.08,1.16,0.55
2024-08-13 16:15:53,0.31,0.55,0.55
2024-08-13 16:15:54,-0.12,0.37,0.67
2024-08-13 16:15:55,-1.04,-0.31,0.73
2024-08-13 16:15:56,0.43,0.61,0.55
2024-08-13 16:15:57,0.0,0.31,0.55
2024-08-13 16:15:58,0.18,0.37,0.61
2024-08-13 16:15:59,0.31,0.49,0.55
2024-08-13 16:16:00,0.0,0.43,0.55
2024-08-13 16:16:01,0.06,0.31,0.55
2024-08-13 16:16:02,0.24,0.55,0.61
2024-08-13 16:16:03,-0.43,-0.12,0.67
2024-08-13 16:16:04,0.61,0.37,0.55
2024-08-13 16:16:05,0.31,0.61,0.55
2024-08-13 16:16:06,0.31,0.67,0.55
2024-08-13 16:16:07,0.37,0.61,0.55
2024-08-13 16:16:08,0.18,0.43,0.55
2024-08-13 16:16:09,0.92,1.22,0.55
2024-08-13 16:16:10,0.37,0.55,0.55
2024-08-13 16:16:11,0.12,0.49,0.61
2024-08-13 16:16:12,0.37,0.55,0.61
2024-08-13 16:16:13,0.12,0.31,0.61
2024-08-13 16:16:14,0.24,0.55,0.55
2024-08-13 16:16:15,0.43,0.55,0.61
2024-08-13 16:16:16,0.49,0.55,0.55
