Gyro_X,Gyro_Y,Gyro_Z,Timestamp
1.77, -0.37, 0.55,2024-08-13 16:04:34
0.49, 0.92, 0.55,2024-08-13 16:04:35
0.24, 0.55, 0.55,2024-08-13 16:04:36
0.24, 0.43, 0.55,2024-08-13 16:04:37
0.12, 0.37, 0.55,2024-08-13 16:04:38
0.24, 0.55, 0.55,2024-08-13 16:04:39
0.37, 0.43, 0.55,2024-08-13 16:04:40
0.18, 0.55, 0.55,2024-08-13 16:04:41
0.31, 0.43, 0.55,2024-08-13 16:04:42
0.31, 0.61, 0.55,2024-08-13 16:04:43
0.31, 0.49, 0.55,2024-08-13 16:04:44
0.31, 0.73, 0.55,2024-08-13 16:04:45
0.31, 0.55, 0.61,2024-08-13 16:04:46
0.24, 0.49, 0.55,2024-08-13 16:04:47
0.18, 0.37, 0.61,2024-08-13 16:04:48
0.31, 0.55, 0.55,2024-08-13 16:04:49
0.43, 0.55, 0.61,2024-08-13 16:04:50
0.24, 0.49, 0.61,2024-08-13 16:04:51
0.24, 0.49, 0.55,2024-08-13 16:04:52
0.31, 0.55, 0.55,2024-08-13 16:04:53
0.24, 0.55, 0.55,2024-08-13 16:04:54
0.31, 0.55, 0.55,2024-08-13 16:04:55
0.31, 0.61, 0.55,2024-08-13 16:04:56
0.37, 0.67, 0.55,2024-08-13 16:04:57
0.43, 0.67, 0.61,2024-08-13 16:04:58
0.37, 0.55, 0.55,2024-08-13 16:04:59
0.24, 0.55, 0.55,2024-08-13 16:05:00
0.31, 0.55, 0.55,2024-08-13 16:05:01
0.31, 0.12, 0.55,2024-08-13 16:05:02
0.24, 0.43, 0.55,2024-08-13 16:05:03
0.31, 0.49, 0.55,2024-08-13 16:05:04
0.24, 0.55, 0.49,2024-08-13 16:05:05
0.12, 0.43, 0.61,2024-08-13 16:05:06
0.43, 0.61, 0.55,2024-08-13 16:05:07
0.31, 0.55, 0.55,2024-08-13 16:05:08
0.24, 0.49, 0.61,2024-08-13 16:05:09
0.73, 0.92, 0.55,2024-08-13 16:05:10
0.24, 0.55, 0.55,2024-08-13 16:05:11
0.31, 0.49, 0.55,2024-08-13 16:05:12
0.18, 0.37, 0.55,2024-08-13 16:05:13
0.55, 0.67, 0.55,2024-08-13 16:05:14
0.67, 0.85, 0.55,2024-08-13 16:05:15
0.24, 0.43, 0.55,2024-08-13 16:05:16
0.24, 0.67, 0.55,2024-08-13 16:05:17
0.31, 0.67, 0.55,2024-08-13 16:05:18
0.24, 0.49, 0.55,2024-08-13 16:05:19
-0.12, 0.37, 0.61,2024-08-13 16:05:20
0.18, 0.49, 0.55,2024-08-13 16:05:21
0.24, 0.55, 0.55,2024-08-13 16:05:22
0.37, 0.55, 0.55,2024-08-13 16:05:23
0.37, 0.61, 0.55,2024-08-13 16:05:24
0.24, 0.49, 0.55,2024-08-13 16:05:25
0.18, 0.49, 0.55,2024-08-13 16:05:26
0.37, 0.61, 0.55,2024-08-13 16:05:27
0.31, 0.55, 0.55,2024-08-13 16:05:28
0.18, 0.49, 0.61,2024-08-13 16:05:29
50.35, -2.32, -13.31,2024-08-13 16:05:30
-15.44, 0.12, 0.55,2024-08-13 16:05:31
-0.12, 0.43, 0.61,2024-08-13 16:05:32
-0.18, 0.31, 0.55,2024-08-13 16:05:33
0.92, 0.37, 0.61,2024-08-13 16:05:34
-0.06, 0.43, 0.55,2024-08-13 16:05:35
0.37, 0.49, 0.55,2024-08-13 16:05:36
0.18, 0.49, 0.55,2024-08-13 16:05:37
0.31, 0.61, 0.55,2024-08-13 16:05:38
0.24, 0.37, 0.55,2024-08-13 16:05:39
0.12, 0.55, 0.55,2024-08-13 16:05:40
0.67, 0.79, 0.61,2024-08-13 16:05:41
0.43, 0.67, 0.55,2024-08-13 16:05:42
0.24, 0.49, 0.61,2024-08-13 16:05:43
0.31, 0.43, 0.55,2024-08-13 16:05:44
-0.12, 0.18, 0.55,2024-08-13 16:05:45
-0.12, 0.24, 0.55,2024-08-13 16:05:46
0.31, 0.49, 0.55,2024-08-13 16:05:47
0.79, 0.06, 0.43,2024-08-13 16:05:48
0.18, 0.37, 0.55,2024-08-13 16:05:49
0.18, 0.55, 0.55,2024-08-13 16:05:50
-0.06, 0.67, 0.55,2024-08-13 16:05:51
-0.12, 0.31, 0.49,2024-08-13 16:05:52
1.10, 1.04, 0.67,2024-08-13 16:05:53
0.43, 0.49, 0.67,2024-08-13 16:05:54
0.31, 1.16, 0.55,2024-08-13 16:05:55
-0.12, 0.31, 0.61,2024-08-13 16:05:56
0.31, 0.49, 0.55,2024-08-13 16:05:57
0.92, 1.40, 0.67,2024-08-13 16:05:58
0.61, -0.37, 0.73,2024-08-13 16:05:59
0.37, 0.55, 0.55,2024-08-13 16:06:00
0.06, 0.37, 0.61,2024-08-13 16:06:01
1.16, 0.55, 0.55,2024-08-13 16:06:02
0.24, 0.49, 0.55,2024-08-13 16:06:03
-0.06, 0.37, 0.73,2024-08-13 16:06:04
